Freq,Gain,Phase
10.0,00009.39,-0010.00
10.2,00010.73,-0010.00
10.5,00010.91,-0010.00
10.7,00010.96,-0010.00
11.0,00010.96,-0010.00
11.2,00010.98,-0014.00
11.5,00010.96,-0014.00
11.7,00010.96,-0012.00
12.0,00010.98,-0014.00
12.3,00010.98,-0014.00
12.6,00010.97,-0014.00
12.9,00010.97,-0014.00
13.2,00010.99,-0017.00
13.5,00010.99,-0017.00
13.8,00010.98,-0017.00
14.1,00010.99,-0017.00
14.5,00010.98,-0018.00
14.8,00011.01,-0018.00
15.1,00010.98,-0019.00
15.5,00011.00,-0019.00
15.8,00011.00,-0019.00
16.2,00010.97,-0019.00
16.6,00010.99,-0019.00
17.0,00010.99,-0020.00
17.4,00010.97,-0021.00
17.8,00010.98,-0021.00
18.2,00010.98,-0022.00
18.6,00010.96,-0022.00
19.1,00010.99,-0023.00
19.5,00010.98,-0024.00
20.0,00010.99,-0024.00
20.4,00010.95,-0025.00
20.9,00010.89,-0024.00
21.4,00010.95,-0026.00
21.9,00010.97,-0026.00
22.4,00010.92,-0027.00
22.9,00010.92,-0027.00
23.4,00010.93,-0028.00
24.0,00010.93,-0028.00
24.5,00010.93,-0029.00
25.1,00010.90,-0030.00
25.7,00010.89,-0030.00
26.3,00010.95,-0030.00
26.9,00010.91,-0031.00
27.5,00010.99,-0032.00
28.2,00011.03,-0033.00
28.8,00011.06,-0033.00
29.5,00011.13,-0034.00
30.2,00011.23,-0035.00
30.9,00011.24,-0036.00
31.6,00011.30,-0036.00
32.4,00011.34,-0037.00
33.1,00011.45,-0038.00
33.9,00011.44,-0037.00
34.7,00011.60,-0039.00
35.5,00011.69,-0040.00
36.3,00011.75,-0041.00
37.2,00011.80,-0041.00
38.0,00011.90,-0043.00
38.9,00011.92,-0043.00
39.8,00012.02,-0043.00
40.7,00012.15,-0044.00
41.7,00012.25,-0045.00
42.7,00012.45,-0046.00
43.7,00012.59,-0046.00
44.7,00012.86,-0048.00
45.7,00013.11,-0049.00
46.8,00013.46,-0051.00
47.9,00013.68,-0051.00
49.0,00013.99,-0053.00
50.1,00014.63,-0055.00
51.3,00015.12,-0057.00
52.5,00015.50,-0058.00
53.7,00015.91,-0060.00
55.0,00016.41,-0062.00
56.2,00017.28,-0067.00
57.5,00018.03,-0071.00
58.9,00018.55,-0074.00
60.3,00019.77,-0083.00
61.7,00020.71,-0090.00
63.1,00020.03,-0094.00
64.6,00020.05,-0099.00
66.1,00020.77,-0110.00
67.6,00020.86,-0114.00
69.2,00021.15,-0128.00
70.8,00020.03,00156.00
72.4,00017.72,00166.00
74.1,00015.69,00161.00
75.9,00014.52,00158.00
77.6,00013.07,00153.00
79.4,00011.56,00150.00
81.3,00010.17,00147.00
83.2,00008.99,00145.00
85.1,00007.85,00144.00
87.1,00006.73,00143.00
89.1,00005.64,00141.00
91.2,00004.76,00140.00
93.3,00003.82,00139.00
95.5,00003.02,00138.00
97.7,00002.12,00137.00
100.0,00001.50,00137.00
102.3,00000.36,00136.00
104.7,00000.32,00135.00
107.2,-0001.21,00134.00
109.6,-0002.04,00134.00
112.2,-0002.63,00133.00
114.8,-0003.20,00133.00
117.5,-0004.25,00133.00
120.2,-0004.76,00133.00
123.0,-0005.70,00133.00
125.9,-0006.45,00130.00
128.8,-0006.97,00131.00
131.8,-0007.37,00130.00
134.9,-0008.08,00130.00
138.0,-0008.57,00128.00
141.3,-0009.59,00129.00
144.5,-0010.15,00129.00
147.9,-0010.66,00128.00
151.4,-0011.89,00129.00
154.9,-0011.45,00126.00
158.5,-0012.60,00130.00
162.2,-0010.98,00124.00
166.0,-0008.84,00097.00
169.8,-0003.28,-0056.00
